724050,"WASHINGTON DC REAGAN AP",VA,-5.0,38.867,-77.033,3
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,1.9,A,7,-3.0,A,7,68,A,7,1026,A,7,60,A,7,6.2,A,7,24000,A,7,1250,A,7,1.2,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,1.2,A,7,-4.4,A,7,63,A,7,1026,A,7,60,A,7,5.2,A,7,24000,A,7,1219,A,7,1.1,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.6,A,7,-4.3,A,7,67,A,7,1027,A,7,60,A,7,5.2,A,7,24000,A,7,1250,A,7,1.1,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.3,A,7,-4.6,A,7,67,A,7,1026,A,7,60,A,7,5.2,A,7,24000,A,7,1250,A,7,1.1,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-0.1,A,7,-5.4,A,7,64,A,7,1026,A,7,60,A,7,5.2,A,7,24000,A,7,1341,A,7,1.0,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-0.2,A,7,-5.4,A,7,65,A,7,1027,A,7,50,A,7,3.6,A,7,24000,A,7,1311,A,7,1.0,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-0.2,A,7,-5.7,A,7,63,A,7,1027,A,7,60,A,7,3.6,A,7,24000,A,7,1219,A,7,1.0,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,08:00,31,743,3,1,11,0,1,16,3,1,11,382,1,11,0,1,16,382,1,11,120,1,22,10,A,7,10,E,9,-0.1,A,7,-5.2,A,7,65,A,7,1027,A,7,90,A,7,3.6,A,7,19200,A,7,1128,A,7,1.0,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,09:00,230,1415,44,1,11,0,1,16,44,1,11,5002,1,11,0,1,16,5002,1,11,1588,1,22,10,A,7,10,E,9,0.0,A,7,-4.7,A,7,67,A,7,1027,A,7,90,A,7,4.1,A,7,19200,A,7,1097,A,7,1.0,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,10:00,424,1415,89,1,11,0,1,16,89,1,11,10166,1,11,0,1,16,10166,1,11,3426,1,22,10,A,7,10,E,9,0.0,A,7,-4.3,A,7,70,A,7,1027,A,7,110,A,7,4.1,A,7,19200,A,7,1097,A,7,1.0,E,8,0.067,F,8,0.170,F,8,0,1,A,7
